index,count,title,brand,Rating,Panel,community,avgscore,NOM,Previous NOM,Agave_Region,Region,Cooking,Extraction,Water_Source,Fermentation,Distillation,Still,Aging,ABVorProof,Other,aromas1c,aromas1t,aromas2c,aromas2t,aromas3c,aromas3t,aromas4c,aromas4t,aromas5c,aromas5t,aromas6c,aromas6t,aromas7c,aromas7t,aromas8c,aromas8t,aromas9c,aromas9t,aromas10c,aromas10t,aromas11c,aromas11t,aromas12c,aromas12t,flavors1c,flavors1t,flavors2c,flavors2t,flavors3c,flavors3t,flavors4c,flavors4t,flavors5c,flavors5t,flavors6c,flavors6t,flavors7c,flavors7t,flavors8c,flavors8t,flavors9c,flavors9t,flavors10c,flavors10t,flavors11c,flavors11t,flavors12c,flavors12t
3344,1,Una Vida Reposado,Una Vida,22,84,82,83,1424,(Previously:1110 1585),-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,1,Agave (cooked),1,Butter,1,Caramel,1,Oak,1,Cherries (dried),1,Smoke,,,,,,,,,,,,,1,Butter,1,Caramel,1,Vanilla,1,Grapefruit,1,Orange,1,Citrus,,,,,,,,,,,,
3345,1,Una Vida Añejo,Una Vida,15,,80,40,1424,(Previously:1110 1585),-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,1,Vanilla,1,Oak,1,Caramel,1,Whiskey,,,,,,,,,,,,,,,,,1,Vanilla,1,Oak,1,Caramel,1,Whiskey,1,Maple,,,,,,,,,,,,,,
3346,1,Uno Mas Tequila Blanco,Uno Mas,8,81,72,76.5,1110,(Previously:1438),-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3347,1,Uno Mas Tequila Reposado,Uno Mas,11,63,71,67,1110,(Previously:1438),-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,1,Vanilla,1,Cake Batter,,,,,,,,,,,,,,,,,,,,,1,Vanilla,1,Cake Batter,,,,,,,,,,,,,,,,,,,,
3348,1,Uno Mas Tequila Añejo,Uno Mas,8,69,59,64,1110,(Previously:1438),-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,-,35-39% abv (70-78 proof),-,2,Agave (cooked),2,Vanilla,2,Butterscotch,2,Toffee,1,Caramel,1,Hazelnut,1,Acetone,1,Wet cardboard,1,Banana,1,Yeast/Dough,1,Toasted Bread,1,Earth,1,Caramel,1,Oak,1,Vanilla,1,Butterscotch,1,Charcoal,1,Chocolate,1,Hazelnut,1,Toffee,1,Wood Bark,1,Acetone,1,Wet cardboard,1,Banana
3357,1,V Rey Supremo Silver,V Rey Supremo,0,,,0,1439,,Jalisco (Tequila Valley) Nayarit Jalisco (Los Altos),Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3358,1,V Rey Supremo Reposado,V Rey Supremo,1,,100,50,1439,,Jalisco (Tequila Valley) Nayarit Jalisco (Los Altos),Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,American White Oak barrels,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3359,1,V Rey Supremo Añejo,V Rey Supremo,2,,89,44.5,1439,,Jalisco (Tequila Valley) Nayarit Jalisco (Los Altos),Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,American White Oak barrels,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3362,1,Valle Sagrado Tequila Blanco,Valle Sagrado,0,,,0,1560,,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3363,1,Valle Sagrado Tequila Reposado,Valle Sagrado,2,82,84,83,1560,,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3364,1,Valle Sagrado Tequila Añejo,Valle Sagrado,1,85,,42.5,1560,,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369,1,Venerado Tequila Blanco,Venerado,1,80,,40,1502,,-,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave Fermentation without fibers,2x distilled,Stainless Steel Pot,-,35% abv (70 proof),-,1,Flowers,1,Vanilla,,,,,,,,,,,,,,,,,,,,,1,Pepper (black),1,Nuts,,,,,,,,,,,,,,,,,,,,
3370,1,Venerado Tequila Añejo,Venerado,0,,,0,1502,,-,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave Fermentation without fibers,2x distilled,Stainless Steel Pot,American White Oak barrels,35% abv (70 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3372,1,Verdano Blanco Pepino,Verdano,2,,89,44.5,1122,,-,Jalisco (Los Valles),-,Diffuser,-,Stainless steel tanks 100% agave,2x distilled,-,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3374,1,Vida de Louie Tequila Blanco,Vida de Louie,2,84,65,74.5,1438,,-,Jalisco (Los Valles),Stone/Brick Ovens Autoclave (high pressure),Roller Mill,Natural spring water,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),Aeration Cold filtered,1,Orange,1,Agave (cooked),1,Alcohol,1,Flowers,1,Vanilla,1,Herbal,,,,,,,,,,,,,1,Orange,1,Agave (raw),,,,,,,,,,,,,,,,,,,,
3378,1,Viejo Cancun Tequila Silver,Viejo Cancun,1,,74,37,1480,,Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave Open-air fermentation,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,1,Villa One Tequila Silver,Villa One Tequila,134,70,72,71,1472,,Jalisco (Los Altos) Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave,2x distilled,Copper Pot,-,40% abv (80-proof),-,6,Agave (cooked),4,Alcohol,2,Vegetal,2,Pepper (black),2,Smoke,2,Caramel,2,Vanilla,1,Butter,1,Cream Soda,1,Grass,1,Pineapple,1,Banana,10,Agave (cooked),6,Alcohol,6,Pepper (black),3,Vanilla,3,Fruity,3,Herbal,2,Butter,2,Cream Soda,2,Earth,2,Smoke,2,Nuts,2,Soap
