index,count,title,brand,Rating,Panel,community,avgscore,NOM,Previous NOM,Agave_Region,Region,Cooking,Extraction,Water_Source,Fermentation,Distillation,Still,Aging,ABVorProof,Other,aromas1c,aromas1t,aromas2c,aromas2t,aromas3c,aromas3t,aromas4c,aromas4t,aromas5c,aromas5t,aromas6c,aromas6t,aromas7c,aromas7t,aromas8c,aromas8t,aromas9c,aromas9t,aromas10c,aromas10t,aromas11c,aromas11t,aromas12c,aromas12t,flavors1c,flavors1t,flavors2c,flavors2t,flavors3c,flavors3t,flavors4c,flavors4t,flavors5c,flavors5t,flavors6c,flavors6t,flavors7c,flavors7t,flavors8c,flavors8t,flavors9c,flavors9t,flavors10c,flavors10t,flavors11c,flavors11t,flavors12c,flavors12t
1557,1,Milagro Añejo,Leyenda del Milagro,302,78,78,78,1559,,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot Column,American White Oak barrels,40% abv (80-proof),-,11,Caramel,9,Oak,8,Agave (cooked),8,Vanilla,6,Butter,6,Pepper (black),4,Fruity,3,Lavender,3,Jasmine,3,Cinnamon,3,Barrel Spice,2,Cream Soda,15,Caramel,15,Agave (cooked),12,Oak,12,Vanilla,9,Pepper (black),5,Butter,4,Cinnamon,3,Honey,3,Vegetal,3,Alcohol,3,Fruity,2,Lavender
1561,1,Milagro Unico,Leyenda del Milagro,14,66,82,74,1559,,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot Column,-,40% abv (80-proof),Color Filtration,3,Agave (cooked),1,Agave (raw),1,Citrus,1,Lavender,1,Pepper (black),1,Flowers,1,Vegetal,1,Vanilla,1,Alcohol,1,Medicinal,,,,,4,Agave (cooked),2,Pepper (black),2,Mint,1,Vegetal,1,Fruity,1,Citrus,1,Butterscotch,1,White Pepper,1,Pear,1,Honey,1,Vanilla,1,Peach
1563,1,Unico Tequila Joven,Leyenda del Milagro,1,,35,17.5,1559,,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot Column,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,1,Milagro Romance Reposado,Leyenda del Milagro,7,82,85,83.5,1559,,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot Column,-,40% abv (80-proof),-,1,Alcohol,1,Agave (cooked),,,,,,,,,,,,,,,,,,,,,1,Agave (cooked),,,,,,,,,,,,,,,,,,,,,,
1565,1,Leyendas del Rock Reposado,Leyendas del Rock,0,,,0,1479,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,1,Leyendas del Rock Añejo,Leyendas del Rock,1,65,,32.5,1479,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,1,Leyendas del Rock Blanco,Leyendas del Rock,0,,,0,1479,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Copper Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,1,Libélula Joven Tequila,Libelula,87,77,82,79.5,1604,(Previously:1592),-,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,11,Agave (cooked),7,Vanilla,6,Agave (raw),6,Caramel,5,Grass,4,Pineapple,4,Vegetal,3,Alcohol,3,Pepper (black),3,Honey,2,Tropical Fruits,2,Citrus,14,Agave (cooked),7,Vanilla,6,Caramel,5,Agave (raw),5,Pepper (black),4,Citrus,4,Vegetal,4,Grass,4,Oak,3,Cinnamon,3,Pineapple,3,Honey
1577,1,Locuaz Tequila Blanco,Locuaz,3,80,72,76,1548,,-,Jalisco (Los Altos Southern),Stone/Brick Ovens Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Copper Pot,-,40% abv (80-proof),-,1,Agave (cooked),1,Vanilla,1,Vegetal,,,,,,,,,,,,,,,,,,,2,Agave (cooked),1,Vanilla,1,Vegetal,1,Alcohol,1,Pepper (black),,,,,,,,,,,,,,
1578,1,Locuaz Tequila Reposado,Locuaz,3,,69,34.5,1548,,-,Jalisco (Los Altos Southern),Stone/Brick Ovens Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Copper Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,1,Locuaz Tequila Añejo,Locuaz,1,,75,37.5,1548,,-,Jalisco (Los Altos Southern),Stone/Brick Ovens Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Copper Pot,-,40% abv (80-proof),-,1,Apple,1,Agave (cooked),1,Anise,1,Caramel,1,Nutmeg,1,Baking Spice,1,Cinnamon,1,Apple (green),1,Almond,,,,,,,1,Apple,1,Agave (cooked),1,Anise,1,Caramel,1,Nutmeg,1,Baking Spice,1,Cinnamon,1,Apple (green),1,Almond,,,,,,
1583,1,Loma Azul Blanco,Loma Azul,9,73,75,74,1499,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,1,Agave (cooked),1,Alcohol,1,Pineapple,1,Tropical Fruits,,,,,,,,,,,,,,,,,1,Agave (cooked),1,Alcohol,1,Pineapple,1,Tropical Fruits,,,,,,,,,,,,,,,,
1584,1,Loma Azul Reposado,Loma Azul,7,79,83,81,1499,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,1,Loma Azul Añejo,Loma Azul,19,80,84,82,1499,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,3,Caramel,2,Agave (cooked),2,Berry,2,Vanilla,2,Oak,1,Coffee,1,Leather,1,Butter,1,Alcohol,,,,,,,2,Agave (cooked),1,Coffee,1,Leather,1,Butter,1,Oak,1,Caramel,1,Vanilla,1,Berry,1,Butterscotch,1,Licorice,,,,
1607,1,Tequila Los Fernandez Reposado,Los Fernandez,4,,85,42.5,1499,(Previously:1515),-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,2,Oak,2,Agave (cooked),1,Cake Batter,1,Asparagus,1,Barrel Spice,1,Wood Bark,1,Nuts,1,Honey,1,Chestnut,1,Butterscotch,1,Tamarind,1,Clove,2,Oak,2,Agave (cooked),1,Wet Earth,1,Limestone,1,Barrel Spice,1,Wood Bark,1,Nuts,1,Leather,1,Hazelnut,1,Chestnut,1,Tobacco,1,Allspice
1608,1,Los Gallos Reposado,Los Gallos Reposado,1,,80,40,1443,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,1,Los Huerta Tequila Blanco,Los Huerta,0,,54,27,1414,,-,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,1,Los Huerta Tequila Reposado,Los Huerta,0,,,0,1414,,-,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,1,Los Huerta Tequila Añejo,Los Huerta,0,,54,27,1414,,-,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,1,Los Troqueros Blanco,Los Troqueros,0,,,0,1590,(Previously:1420),-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave Fermentation without fibers,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,1,Los Troqueros Reposado,Los Troqueros,2,,78,39,1590,(Previously:1420),-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave Fermentation without fibers,2x distilled,Stainless Pot w/Copper Coil,American White Oak barrels,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,1,Los Troqueros Añejo,Los Troqueros,1,,88,44,1590,(Previously:1420),-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave Fermentation without fibers,2x distilled,Stainless Pot w/Copper Coil,American White Oak barrels,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,1,Los Yugos Reposado,Los Yugos,0,,,0,1515,,-,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,Mixto Stainless steel tanks,2x distilled,Stainless Steel Pot,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,1,Tequila Luchadores Reposado,Luchadores,3,55,83,69,1460,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,1,Lumbre Tequila Reposado,Lumbre,0,,,0,1499,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,1,Luna Nueva Tequila Silver,Luna Nueva,6,64,76,70,1414,(Previously:1558 1107),Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave Classical music Open-air fermentation Champagne Yeast,2x distilled,Copper Pot,-,40% abv (80-proof),-,3,Agave (cooked),2,Citrus,2,Thyme,1,Pepper (black),1,Cherry,1,Fruity,1,Peppermint,,,,,,,,,,,1,Agave (cooked),1,Citrus,1,Thyme,,,,,,,,,,,,,,,,,,
1670,1,Luna Nueva Tequila Reposado,Luna Nueva,3,79,89,84,1414,(Previously:1558 1107),Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave Classical music Open-air fermentation Champagne Yeast Fermentation without fibers,2x distilled,Copper Pot,American White Oak barrels Whisky barrels Used barrels,40% abv (80-proof),-,1,Cherry,1,Coconut,1,Toasted Bread,1,Butterscotch,1,Agave (cooked),1,Oak,,,,,,,,,,,,,1,Caramel,1,Vanilla,1,Oak,,,,,,,,,,,,,,,,,,
1671,1,Luna Nueva Tequila Añejo,Luna Nueva,3,60,94,77,1414,(Previously:1558 1107),Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave Classical music Open-air fermentation Champagne Yeast Fermentation without fibers,2x distilled,Copper Pot,American White Oak barrels Whisky barrels Used barrels,40% abv (80-proof),-,2,Cherry,2,Oak,1,Vanilla,1,Chocolate,,,,,,,,,,,,,,,,,1,Vanilla,1,Oak,,,,,,,,,,,,,,,,,,,,
1717,1,Mamacita Tequila Blanco,Mamacita,2,74,,37,1443,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,35-39% abv (70-78 proof),-,1,Cream Soda,1,Mint,1,Artificial Sweetener,,,,,,,,,,,,,,,,,,,1,Cream Soda,1,Mint,1,Artificial Sweetener,,,,,,,,,,,,,,,,,,
1718,1,Mamacita Tequila Reposado,Mamacita,2,57,,28.5,1443,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,American White Oak barrels,35-39% abv (70-78 proof),-,1,Acetone,1,Vanilla,1,Artificial Sweetener,1,Sulfur,,,,,,,,,,,,,,,,,1,Acetone,1,Vanilla,1,Artificial Sweetener,1,Sulfur,,,,,,,,,,,,,,,,
1723,1,Man in Black Plata,Man in Black,1,,93,46.5,1420,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,1,Man in Black Reposado,Man in Black,5,,82,41,1420,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,French Oak barrels,40% abv (80-proof),-,1,Agave (cooked),1,Butter,1,Caramel,1,Vanilla,1,Nutmeg,1,Butterscotch,1,Whiskey,,,,,,,,,,,1,Agave (cooked),1,Butter,1,Caramel,1,Vanilla,1,Apple,1,Nutmeg,1,Butterscotch,1,Leather,1,Nuts (Roasted),1,Oak,1,Cream Soda,,
1725,1,Man in Black Añejo,Man in Black,3,,87,43.5,1420,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,French Oak barrels,40% abv (80-proof),-,1,Agave (cooked),1,Butter,1,Caramel,1,Vanilla,1,Butterscotch,1,Honey,1,Nuts (Roasted),1,Toffee,,,,,,,,,1,Agave (cooked),1,Caramel,1,Vanilla,1,Nutmeg,1,Cedar,1,Nuts (Roasted),1,Oak,1,Toffee,,,,,,,,
1726,1,Man in Black Extra Añejo,Man in Black,1,,89,44.5,1420,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,French Oak barrels,40% abv (80-proof),-,1,Caramel,1,Oak,,,,,,,,,,,,,,,,,,,,,1,Pepper (black),1,Caramel,1,Agave (cooked),,,,,,,,,,,,,,,,,,
1732,1,Mañanero Reposado,Mañanero,4,75,88,81.5,1416,,-,Jalisco (Los Altos Southern),-,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,-,-,35-39% abv (70-78 proof),-,1,Apple,1,Solvent,1,Chocolate,1,Pear,1,Fruit (fake),,,,,,,,,,,,,,,1,Apple,1,Solvent,1,Chocolate,1,Pear,1,Fruit (fake),,,,,,,,,,,,,,
1755,1,Maracame Plata,Maracame Tequila,80,86,83,84.5,1610,(Previously:1456 1414),-,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,18,Agave (cooked),7,Grass,7,Citrus,6,Butter,6,Pineapple,4,Earth,4,Vegetal,3,Flowers,3,Apple (green),3,Fruity,2,Pear,2,White Pepper,17,Agave (cooked),9,Pepper (black),7,Citrus,6,Earth,5,Pear,5,White Pepper,5,Pineapple,4,Butter,3,Licorice,3,Vegetal,3,Herbal,3,Fruity
1756,1,Maracame Reposado,Maracame Tequila,77,84,85,84.5,1610,(Previously:1456),-,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,10,Agave (cooked),4,Pepper (black),3,Oak,3,Caramel,3,Vanilla,2,Fruity,2,Flowers,1,Clove,1,Nuts,1,Orange,1,Tropical Fruits,1,White Pepper,9,Pepper (black),8,Agave (cooked),6,Oak,4,Clove,3,Fruity,3,Caramel,2,Cinnamon,2,Nuts,2,White Pepper,2,Butter,2,Honey,2,Vanilla
1757,1,Maracame Añejo,Maracame Tequila,74,86,86,86,1610,(Previously:1456),-,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,10,Agave (cooked),8,Vanilla,6,Butter,5,Oak,4,Caramel,2,Fruity,2,Butterscotch,2,Whiskey,1,Vegetal,1,Flowers,1,Clove,1,Tropical Fruits,8,Agave (cooked),8,Oak,8,Vanilla,4,Caramel,3,Honey,3,Pepper (black),3,Butter,2,White Pepper,2,Whiskey,2,Coconut,2,Cocoa,2,Sage
1772,1,Marquez de Valencia Reposado,Marquez de Valencia,10,83,86,84.5,1465,,-,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,1,Fruity,1,Cinnamon,1,Agave (cooked),1,Caramel,1,Banana,1,Anise,,,,,,,,,,,,,1,Fruity,1,Cinnamon,1,Agave (cooked),1,Banana,1,Anise,1,Flowers,1,Rose,1,Allspice,1,Tamarind,1,Butterscotch,,,,
1776,1,Mascota Tequila Blanco,Mascota Tequila,0,,,0,1533,,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave Open-air fermentation Fermentation without fibers,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),Aeration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,1,Mascota Tequila Reposado,Mascota Tequila,2,,86,43,1533,,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave Open-air fermentation Fermentation without fibers,2x distilled,Stainless Steel Pot,Whisky barrels Used barrels,40% abv (80-proof),Aeration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,1,Mascota Tequila Añejo,Mascota Tequila,0,,,0,1533,,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave Open-air fermentation Fermentation without fibers,2x distilled,Stainless Steel Pot,French Oak barrels Whisky barrels Used barrels,40% abv (80-proof),Aeration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,1,Maxximo de Codorniz Reposado,Maxximo de Codorniz,1,,78,39,1460,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,1,Agave (cooked),1,Anise,1,Orange,1,Caramel,1,Orange Blossom,1,Orange Peel,1,Pepper (black),1,Laurel,1,Astringent,,,,,,,1,Agave (cooked),1,Anise,1,Orange,1,Caramel,1,Orange Blossom,1,Orange Peel,1,Pepper (black),1,Laurel,1,Astringent,,,,,,
1792,1,Maximo Reposado,Maxximo de Codorniz,0,,,0,1460,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,Mixto 100% agave,2x distilled,Copper Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,1,Maximo Silver,Maxximo de Codorniz,0,,,0,1460,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,Mixto Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,1,Maximo Gold,Maxximo de Codorniz,0,,,0,1460,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,Mixto Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,1,Messicano Alteño Silver,Messicano Alteño,5,,71,35.5,1416,,-,Jalisco (Los Altos Southern),Boiling Tank,Diffuser,Deep well water,100% agave Stainless steel tanks Fermentation without fibers,2x distilled,Column,-,40% abv (80-proof),-,2,Alcohol,2,Pepper (black),1,Agave (raw),1,Anise,1,Herbal,,,,,,,,,,,,,,,2,Alcohol,2,Pepper (black),1,Agave (raw),1,Anise,1,Celery,1,Minerals,1,Solvent,1,Herbal,,,,,,,,
1804,1,Messicano Alteño Gold,Messicano Alteño,13,,75,37.5,1416,,-,Jalisco (Los Altos Southern),Boiling Tank,Diffuser,Deep well water,100% agave Stainless steel tanks Fermentation without fibers,2x distilled,Column,-,40% abv (80-proof),-,2,Alcohol,1,Agave (raw),1,Agave (cooked),1,Vanilla,1,Citrus,1,Smoke,,,,,,,,,,,,,2,Agave (cooked),2,Alcohol,1,Agave (raw),1,Vanilla,1,Pepper (black),1,Citrus,1,Charcoal,1,Smoke,1,Medicinal,,,,,,
1829,1,Mi Casa Blanco,Mi Casa,18,85,86,85.5,1499,,Single Estate Michoacán ,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,2,Agave (cooked),1,Earth,1,Vegetal,1,Apple,1,Minerals,1,Alcohol,1,Vanilla,1,Oak,,,,,,,,,2,Agave (cooked),1,Pepper (black),1,Anise,1,Yeast/Dough,1,Earth,1,Cinnamon,1,Olive,1,Pine Tree,1,Tropical Fruits,1,Orange Peel,1,Pear,1,Herbal
1830,1,Mi Casa Reposado,Mi Casa,11,81,73,77,1499,,Single Estate Michoacán ,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,American White Oak barrels Whisky barrels Used barrels Bourbon barrels,40% abv (80-proof),-,3,Caramel,2,Vanilla,1,Agave (cooked),1,Oak,,,,,,,,,,,,,,,,,2,Caramel,2,Vanilla,1,White Pepper,1,Oak,,,,,,,,,,,,,,,,
1831,1,Mi Casa Añejo,Mi Casa,17,87,78,82.5,1499,,Single Estate Michoacán ,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,American White Oak barrels Whisky barrels Used barrels Bourbon barrels,40% abv (80-proof),-,2,Agave (cooked),1,Vanilla,1,Fruity,1,Tobacco,1,Cream Soda,1,Vegetal,1,Alcohol,1,Pepper (black),,,,,,,,,1,Agave (cooked),1,Cinnamon,1,Vanilla,1,Thyme,1,Alcohol,,,,,,,,,,,,,,
1842,1,Mi Rancho Silver,Mi Rancho,0,,,0,1545,(Previously:1534),-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,1,Mi Rancho Reposado,Mi Rancho,1,,62,31,1545,(Previously:1534),-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,1,Alcohol,1,Pepper (black),1,Oak,1,Vegetal,,,,,,,,,,,,,,,,,1,Alcohol,1,Pepper (black),,,,,,,,,,,,,,,,,,,,
1859,1,Mil Pencas Reposado,Mil Pencas,0,,,0,1460,(Previously:1115),-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,Natural spring water,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,American White Oak barrels,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,1,Mil Pencas Añejo,Mil Pencas,0,,,0,1460,(Previously:1115),-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,Natural spring water,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,American White Oak barrels,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,1,Mil Pencas Silver Suave,Mil Pencas,0,,,0,1460,(Previously:1115),-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,Natural spring water,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,1,Milenio Azul Reposado,Milenio Azul,0,,,0,1479,,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Copper Pot,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,1,Tequila Millonarios Silver,Millonarios,0,,,0,1508,,-,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,1,Tequila Millonarios Gold,Millonarios,0,,,0,1508,,-,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks Mixto,2x distilled,Stainless Steel Pot,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,1,Monte Carlo Tequila Blanco,Monte Carlo,1,,77,38.5,1584,,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave Open-air fermentation Fermentation without fibers,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,1,Agave (raw),1,Anise,1,Alcohol,1,Minerals,,,,,,,,,,,,,,,,,1,Metallic,1,Agave (cooked),1,Anise,1,Minerals,,,,,,,,,,,,,,,,
1901,1,Monte Carlo Tequila Añejo,Monte Carlo,0,,,0,1584,,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave Open-air fermentation Fermentation without fibers,2x distilled,Stainless Steel Pot,American White Oak barrels Whisky barrels Used barrels,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
