Rank,Change,Owner,NOM,Avg Rating,Number of Ratings ,Number of Brands,Region,Brand 1,Brand 2,Brand 3,Brand 4,Brand 5
18,-1,"Tequila Quiote, S.A. de C.V.",1433,84.25,863,5,Jalisco (Ciénega),Calle 23, Cava Don Anastacio, Caballito Cerrero, Hijos de Villa, Puerto Vallarta
19,2,"Tequila Las Americas, S.A. de C.V.",1480,83.75,3165,40,Jalisco (Los Valles),123 Organic Tequila, Don Abraham, Solento Organic Tequila, 4 Copas, Tequila Cabal
20,-1,"Agaveros Unidos de Amatitan, S.A. de C.V. (Rancho Miravalle"")""",1426,83.62,89,5,Jalisco (Los Valles),Nueveuno, Miravalle,,,
21,-3,"Destiladora de Los Altos, S.A. de C.V.",1412,83.43,361,5,Jalisco (Los Altos Southern),Mijenta Tequila, Don Felix, Hacienda Vieja,,
22,4,Tequilera Puerta de Hierro (Leticia Hermosillo Ravelero),1477/1600,83.24,1873,29,Jalisco (Los Valles),Cava de Oro, Mandhala Night Mandala, Amatiteña, Compoveda Tequila, Don Cayo
23,-3,"Hacienda de Oro, S.A. de C.V.",1522,83.19,331,15,Jalisco (Los Valles),Suave Tequila, Semental, Agave Underground, XQ, 374 Tequila
24,-1,"Altos Cienega Unidos, S.P.R. de R.L.",1570,82.99,134,4,Jalisco (Ciénega),González 1939, El Consuelo,,,
25,--,"Destiladora Refugio, S.A. de C.V.",1549,82.85,118,5,Jalisco (Los Valles),ArteNOM Selección de 1549, Quinta de Gomez, Cava Alteña, Barcino,
26,3,"Tequila Embajador, S.A. de C.V.",1509,82.84,610,3,Jalisco (Ciénega),Crotalo, Embajador, Alma de Agave, Cabresto, El Decreto
27,5,"Compañia Tequilera Hacienda Sahuayo, S.A. de C.V.",1511,82.73,51,3,Michoacán,Hacienda Sahuayo,,,,
28,--,"Fabrica de Tequila Don Nacho, S.A. de C.V.",1508,82.68,315,2,Jalisco (Los Altos Southern),Don Nacho, El Caballo Estrella,,,
29,1,"Metlalli, S.A. de C.V.",1419,82.65,48,5,Jalisco (Los Valles),Solórzano, Bracero,,,
30,3,"Grupo Industrial Tequilero de Los Altos de Jalisco, S.A. de C.V.",1443,82.62,1043,10,Jalisco (Los Altos Southern),Don Pilar, Veneno, Campanario, El Tesoro De Chuy Chavez, Scandalo
31,4,"Cooperativa Tequilera la Magdalena, S.C. de R.L.",1463,82.55,123,19,Jalisco (Los Valles),Amorada Tequila, Los Valientes, Sangre Azteca,,
32,-10,"Proveedora y Procesadora de Agave Tres Hermanos, S.A. de C.V.",1439,82.55,322,22,Jalisco (Los Valles),El Fogonero, Corrido, El Paseillo Charro, Noble Corazon, Un Grito de Sabor
33,-2,"Procesadora de Agave Penjamo, S.A. de C.V.",1434,82.53,53,2,Guanajuato,Real de Penjamo, Canicas,,,
34,2,"Tequila Arette de Jalisco, S.A. de C.V.",1109,82.31,2456,5,Jalisco (Los Valles),Arette, El Gran Viejo, Paladar, Agave de Oro,
35,-1,"Destilería Rivesca, S.A. De C.V.",1531,82.15,630,10,Jalisco (Los Valles),Number Juan Tequila, Regalo de Dios, Don Modesto, Toro de Lidia, Oro De Lidia
36,1,Destileria La Alborada,1445,82.15,289,5,Jalisco (Los Valles),Don Lorenzo, El Gran Jubileo, La Alborada, Casa Bariachi, Provocación
37,2,"Fabrica de Tequila el Eden, S.A. de C.V.",1465,82.13,116,5,Jalisco (Los Altos Southern),Carrera Tequila, Marquez de Valencia, Cinco Agaves, RR Dos Erres,
38,--,"Agroindustrias Casa Ramirez, S.A. de C.V.",1519,82.08,160,2,Guanajuato,Ayate, DesMaDre, Reserva de Mexico,,
39,4,"Vinos y Licores Azteca, S.A. de C.V.",1533,82.06,690,10,Jalisco (Los Altos Southern),La Gritona, TC Craft, Sino S, Leyenda de Mexico, Vikera Tequila
40,-16,"Diageo México Operaciones, S.A. De C.V.",1449/1609,81.94,14712,3,Jalisco (Ciénega),Don Julio, Casamigos Tequila, 3 Magueyes,,
41,-1,"Tequila Galindo, S.A. de C.V.",1517,81.74,95,5,Jalisco (Los Altos Southern),Galindo, Goza Tequila, Hacienda Galindo, Nuestro Orgullo,
42,-1,"Tequila San Matias de Jalisco, S.A. de C.V.",1103/1604,81.66,2989,12,Jalisco (Los Altos Southern),Corazon (de Agave), Casa San Matias, Pueblo Viejo, San Matias Tahona, Rey Sol
43,3,"Destileria Casa De Piedra, S.A. de C.V.",1586,81.61,660,5,Jalisco (Los Valles),Chamucos, Herencia Mexicana, Cobalto, Terraneo,
44,-2,"Tequilera de la Barranca de Amatitan, S.A. de C.V.",1473,81.34,300,8,Jalisco (Los Valles),Tonala, Mi Tierra, Don Fernando, Casa Pecados Tequila, Don Fernando T.K.O.
45,-1,"Cavas de Don Max, S.A. de C.V.",1554,81.23,354,3,Jalisco (Central),Cantera Negra, Tequila Zarpado,,,
46,5,"Premium de Jalisco, S.A. de C.V.",1558,81.21,1559,10,Jalisco (Southeast),Tierra Noble, Dos Armadillos, Insólito, Pura Vida, El Sagrado
47,3,"Tequilas Gonzalez Lara, S.A. de C.V. (Casa Marengo)",1560,81.11,1426,10,Jalisco (Los Valles),Adictivo Tequila, Mañana, Tierra Sagrada, Casa Verde, Amor Indio
48,17,"Compañia Tequilera Los Valores, S.A. de C.V.",1608,80.88,65,3,Jalisco (Central),Don Rico Tequila, Tragos Amargos, Jenni Rivera Tequila, Don Rich,
49,5,"IBEV Casa Tequilera, S.A. De C.V.",1598,80.85,33,3,Jalisco (Los Valles),Regional,,,,
50,-1,"Tequilera la Noria, S.A. de C.V.",1494,80.85,478,4,Jalisco (Los Valles),AsomBroso, Caramba, Oro de Jalisco, Violeta, Regíon de México
51,10,"Agrotequilera de Jalisco, S.A. de C.V.",1523,80.83,645,1,Jalisco (Los Valles),Volcan de Mi Tierra,,,,
52,1,"Varo Destileria, S. De R.L. De C.V.",1616,80.8,756,1,Jalisco (Los Valles),Codigo 1530,,,,
53,4,"Tequilera Las Juntas, S.A. de C.V.",1500,80.74,336,10,Jalisco (Los Valles),El Jefe Tequila, Tequila Kostiv, Trianon Tequila, Tequila Juan de Leon, Shizuku
54,1,"Destiladora Juanacatlan, S.P.R. de R.L. de C.V.",1551,80.74,250,5,Jalisco (Central),Dame Más, La Hora Azul, Malinalli, La Tilica, Casa de Luna
55,-3,"Tequila Selecto de Amatitan, S.A. de C.V.",1459,80.67,1720,60,Jalisco (Los Valles),Grand Mayan, Blue Nectar, Los Tres Toños, Calirosa, Manik
56,2,"Destiladora Santa Virginia, S.A. de C.V.",1515,80.62,95,4,Jalisco (Los Altos Southern),Sangre Alteña,,,,
57,13,"Tequilera La Herencia, S. De R.L. De C.V.",1590,80.45,58,5,Jalisco (Los Altos Southern),Rey Del Mundo, Man in Black, Cristeros, Tequila Supremacía, AGV 400
58,-13,"Tequila Tres Mujeres, S.A. de C.V.",1466,80.3,1513,26,Jalisco (Los Valles),Padre Azul, Amor Mio, Casino Azul, Chula Parranda, Tequila Sin Rival
59,-3,"La Cofradia, S.A. de C.V.",1137,80.29,5714,64,Jalisco (Los Valles),Casa Noble, Tequila Mi Campo, Siempre Tequila, Bandistas, Señor Rio
