name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tequila, Mexico",2021-05-13,89.9,62.5,75.8,87.8,62.5,75.3,54.9,51.3,0.032,100,25,rain,,,,17.2,116,1015,50.1,8.6,294.2,25.4,9,,2021-05-13T07:18:34,2021-05-13T20:25:07,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-14,88.4,65.4,75.4,86.8,65.4,75,54,49.1,0.008,100,4.17,rain,,,21.9,10.3,100.1,1015.3,62.7,8.6,254.9,21.9,8,,2021-05-14T07:18:09,2021-05-14T20:25:32,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-15,88.6,64.3,73.6,86.2,64.3,73.1,55.3,56.9,0.256,100,8.33,rain,,,,16.1,265.4,1014.5,53.9,8.3,217.3,18.7,9,,2021-05-15T07:17:45,2021-05-15T20:25:57,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-16,90.8,60.9,74.5,86.7,60.9,73.4,46.7,43.9,0,0,0,,,,22.4,9.8,294.7,1011.3,1.6,9.3,339.2,29.4,10,,2021-05-16T07:17:23,2021-05-16T20:26:23,0.17,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-17,92.2,58.2,74.3,87.8,58.2,73.1,43.5,39.3,0,0,0,,,,24.6,13.9,283.3,1011.9,0,9.1,321.3,27.7,10,,2021-05-17T07:17:01,2021-05-17T20:26:48,0.2,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-18,94,55.1,75.1,89.3,55.1,73.6,35.6,32.5,0,0,0,,,,22.4,16.8,279.6,1009.6,1.2,8.1,344.8,29.7,10,,2021-05-18T07:16:40,2021-05-18T20:27:14,0.24,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-19,87.7,56,71.4,84.1,56,70.4,32.1,31.8,0,0,0,,,,,17.2,258.7,1011.9,0,8.6,294,25.5,10,,2021-05-19T07:16:20,2021-05-19T20:27:39,0.25,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-20,90.1,52.2,70.7,86,52.2,69.7,30.2,28,0,0,0,,,,,9.2,189.1,1010.7,0,8.3,320.9,27.7,10,,2021-05-20T07:16:02,2021-05-20T20:28:05,0.3,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-21,92.7,55.5,74,88.2,55.5,72.7,36.8,33.3,0,0,0,,,,,8.1,269.7,1011.8,23.8,7.9,297.7,25.8,10,,2021-05-21T07:15:44,2021-05-21T20:28:30,0.34,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-22,93.8,57.1,75.7,89.2,57.1,74.3,34.2,27.3,0,0,0,,,,,19.7,285.3,1014.6,2.4,7.8,319.5,27.5,10,,2021-05-22T07:15:28,2021-05-22T20:28:55,0.37,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-23,95.4,62,76.6,90.5,62,75,32.8,23.7,0,0,0,,,,24.6,10.1,295.3,1009.6,3.2,8.4,313.5,26.9,10,,2021-05-23T07:15:12,2021-05-23T20:29:21,0.41,Clear,Clear conditions throughout the day.,clear-day,"76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-24,94.7,58.9,75.9,90.6,58.9,74.5,41,31.3,0,0,0,,,,,11.6,297.5,1012.1,4.6,8,297.1,25.7,10,,2021-05-24T07:14:58,2021-05-24T20:29:46,0.44,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,remote,F6804"
